gyro_x;gyro_y;gyro_z;accel_x;accel_y;accel_z;label
30.687.022;24.885.496;-0.29007636;-0.07446289;0.0476074216;0.85595704;0
32.137.404;2.793.893;-0.3053435;-0.072021484;0.044677736;0.8703613;0
29.007.632;28.091.602;-0.45038168;-0.06713867;0.043701172;0.8684082;0
329.771;18.625.954;-14.961.832;-0.06591797;0.043945312;0.86328124;0
343.511.468;-22.671.756;-0.08396947;-0.057861328;0.043701172;0.873291;0
336.641.232;0.9847328;-0.32061068;-0.06518555;0.04321289;0.8569336;0
3.076.336;18.473.282;-0.114503816;-0.06640625;0.040527344;0.8642578;0
32.442.748;19.389.314;-0.389312984;-0.06738281;0.045898436;0.8588867;0
31.450.382;15.648.855;-0.10687023;-0.06665039;0.045166016;0.86572264;0
30.305.342;32.900.762;-0.244274816;-0.06665039;0.044921876;0.8718262;0
29.312.978;64.656.488;-0.6870229;-0.064208984;0.04272461;0.873291;0
35.114.504;-0.519084;-0.259542;-0.072509768;0.0397949216;0.8652344;0
3.076.336;179.389.316;-0.17557252;-0.061035156;0.041992188;0.8691406;0
32.442.748;2.259.542;-0.4351145;-0.06518555;0.03491211;0.86694332;0
33.435.114;21.603.052;-0.16793894;-0.060546876;0.040527344;0.86376952;0
3.091.603;2.572.519;-0.4351145;-0.06225586;0.045898436;0.8666992;0
31.603.052;27.175.572;-0.343511468;-0.05493164;0.042236328;0.8623047;0
30.305.342;270.229;-0.21374046;-0.056396484;0.043945312;0.86694332;0
3.183.206;40.916.032;-0.4274809;-0.06616211;0.045166016;0.8574219;0
3.221.374;0.7633588;-0.244274816;-0.0617675768;0.043945312;0.8691406;0
32.442.748;19.770.992;-0.10687023;-0.051513672;0.045654296;0.85302732;0
31.450.382;31.755.726;-0.3816794;-0.06323242;0.0461425784;0.8588867;0
31.984.732;24.961.832;-0.32824428;-0.05908203;0.038085936;0.8654785;0
33.282.442;22.442.748;-0.35114504;-0.06323242;0.0461425784;0.86206056;0
32.519.084;51.297.708;-0.473282468;-0.06591797;0.031982422;0.8552246;0
3.129.771;0.366412232;-0.13740458;-0.05810547;0.04296875;0.88012696;0
32.290.078;0.1908397;-0.27480916;-0.05053711;0.0476074216;0.8652344;0
3.221.374;356.488.536;-0.54198476;-0.06518555;0.041015624;0.86865232;0
30.458.016;2.648.855;-0.366412232;-0.0637207;0.042236328;0.87719732;0
329.771;02.00;-0.35877864;-0.05883789;0.041503908;0.8676758;0
31.984.732;27.709.922;-0.343511468;-0.061279296;0.0390625;0.86279292;0
32.366.412;20.839.694;-0.259542;-0.064941408;0.041992188;0.85717776;0
31.603.052;339.694.668;-0.610687;-0.06274414;0.0397949216;0.8720703;0
3.076.336;3.038.168;-0.32824428;-0.0617675768;0.04638672;0.8618164;0
32.442.748;28.625.954;-0.33587788;-0.068603512;0.040527344;0.86987304;0
30.839.694;49.007.636;-0.610687;-0.064453124;0.04321289;0.85791016;0
31.221.372;31.526.718;-0.229007632;-0.060302736;0.03955078;0.8625488;0
32.290.078;2.908.397;-0.28244276;-0.06225586;0.041503908;0.86694332;0
30.839.694;16.717.557;-0.015267176;-0.057128908;0.041259764;0.85961912;0
30.610.688;2.961.832;-0.229007632;-0.05908203;0.040771484;0.867431632;0
3.167.939;27.862.596;0.10687023;-0.059326172;0.046875;0.87231448;0
3.167.939;356.488.536;-0.3740458;-0.057128908;0.050048828;0.85961912;0
3.312.977;0.3816794;-0.3740458;-0.0617675768;0.044189452;0.869384768;0
33.435.114;38.244.274;-0.183206116;-0.051757812;0.037109376;0.86083984;0
32.671.756;11.755.725;-0.17557252;-0.057128908;0.041259764;0.8684082;0
32.290.078;0.65648852;-0.3816794;-0.05029297;0.044433592;0.871582032;0
33.587.788;-23.740.458;-0.03816794;-0.051757812;0.03857422;0.85791016;0
27.251.908;69.465.648;-0.465648868;-0.07080078;0.04345703;0.8708496;0
28.473.282;18.503.816;-0.9694657;-0.059570312;0.048095704;0.8532715;0
31.450.382;14.122.137;-0.129771;-0.016357422;0.043945312;0.8144531;0
