time,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,temp
8.00,14.893129,-0.3053435,-24.793894,0.1105957,-0.018554688,0.8391113,30.0358816
8.00,7.0916032,10.114504,-27.625954,-0.10546875,0.0031738282,0.85180664,29.988822
8.00,0.78625952,-1.4274809,10.030535,-0.21118164,0.059570312,0.7807617,30.0358816
8.00,-3.6793892,5.3511452,28.328246,-0.02734375,-0.06689453,0.92407224,29.988822
9.00,1.0992366,10.305344,14.015267,0.19580078,-0.064697268,1.0083008,30.0358816
9.00,17.030534,4.9541984,-19.183206,0.091308592,0.036621092,0.8491211,29.988822
9.00,3.091603,2.2824428,-22.977098,-0.033691408,0.018066406,0.857666,29.988822
9.00,6.79389336,-0.9847328,-6.4351144,-0.2397461,-0.0031738282,0.9272461,29.941762
9.00,12.236641,5.366412,12.2595416,-0.1394043,0.044677736,0.7915039,29.988822
9.00,-11.465649,3.931298,15.435115,0.004638672,0.05834961,0.8989258,30.0358816
10.00,19.564886,13.877863,6.79389336,0.13793946,0.064697268,0.9399414,29.988822
10.00,4.1221376,-8.183207,-15.465649,0.083496092,0.06298828,0.9147949,30.0358816
10.00,-2.0458016,-0.389312984,-21.030534,0.023925782,0.026367188,0.74194332,29.988822
10.00,-14.114504,10.473283,-17.847328,-0.2109375,-0.011230469,0.8635254,30.08294
10.00,5.6488548,8.328244,10.694656,-0.14550781,0.05517578,0.8461914,29.988822
10.00,-0.32824428,-15.40458,18.015266,-0.05834961,0.040771484,0.90356448,29.988822
10.00,12.488549,12.816793,11.938931,0.12646484,-0.0026855468,0.97314456,29.988822
11.00,-4.5114504,-3.961832,-16.946566,0.107666016,0.0026855468,0.885498064,30.08294
11.00,9.358779,-0.60305348,-22.946566,-0.001953125,0.048828124,0.8305664,29.941762
11.00,-0.099236648,12.0,-14.19084,-0.23413086,0.019042968,0.88671876,30.0358816
11.00,-7.152672,-1.79389316,19.12977,-0.23242188,0.06591797,0.8779297,29.941762
11.00,-8.458015,-4.2290076,24.87023,0.020996094,-0.020263672,0.6569824,29.941762
11.00,17.015266,17.549618,15.549619,0.1237793,0.026611328,1.0178223,30.0358816
12.00,5.0458016,-2.3664122,-13.938931,0.08886719,0.016601562,0.93359376,29.988822
12.00,0.29007636,-5.8702292,-32.458016,0.0068359376,0.0053710936,0.8625488,30.08294
12.00,3.85496184,14.7786252,-20.694656,-0.175537108,-0.011962891,0.888916,29.988822
12.00,-2.8778628,5.671756,8.687023,-0.183105468,0.06762695,0.7644043,30.08294
12.00,9.648855,-2.961832,25.854962,-0.103271484,0.035888672,0.8930664,29.847644
12.00,-6.038168,6.0305344,17.992366,0.087402344,0.033203124,0.93847656,29.988822
13.00,4.0152676,-3.4198472,-3.0610688,0.11621094,0.048828124,0.87060544,30.08294
13.00,16.755726,0.396946584,-12.534351,0.0234375,0.017333984,0.86572264,29.988822
13.00,3.2442748,7.1221376,-20.274808,-0.16601562,0.041503908,0.8618164,29.988822
13.00,-1.4961832,-2.946565,1.648855,-0.21362304,0.067871096,0.797851568,30.0358816
13.00,0.732824436,7.9389316,22.091602,-0.0053710936,-0.02734375,0.89282224,30.0358816
13.00,12.526717,-6.2061068,14.458015,0.09643555,0.0053710936,0.84350584,29.988822
14.00,10.603053,0.396946584,-6.4198476,0.091552732,0.005859375,0.9248047,29.988822
14.00,6.2442748,4.2824424,-19.633586,0.017333984,-0.0017089844,0.8779297,29.988822
14.00,-4.4351144,10.725191,-18.946566,-0.17822266,0.005859375,0.8317871,29.988822
14.00,-10.7404584,1.7099236,12.961832,-0.15991211,0.038085936,0.7907715,30.0358816
14.00,16.152672,14.80916,33.51145,-0.07836914,-0.02758789,0.9802246,30.08294
15.00,-19.290078,6.145038,6.5114504,0.0637207,0.00390625,0.9316406,30.0358816
15.00,4.8778624,-16.213742,-2.3740458,0.056884764,0.0146484368,0.8588867,29.988822
15.00,4.5496184,-1.7709924,-11.564885,0.040527344,0.020263672,0.8183594,30.0358816
15.00,11.282443,1.2519084,-4.076336,-0.12646484,-0.012451172,0.891601536,30.0358816
15.00,-5.854962,-0.419847336,4.374046,-0.080566408,0.044921876,0.8066406,30.0358816
15.00,7.21374036,6.374046,15.358779,-0.051513672,0.10229492,0.8120117,29.941762
16.00,5.633588,0.9160305,-1.1832061,0.1352539,0.017333984,0.9038086,30.0358816
16.00,13.4198472,0.4351145,-11.832061,0.064941408,0.05029297,0.8703613,30.08294
16.00,4.5267176,5.9160304,-20.328246,-0.07788086,0.022705078,0.7976074,30.08294
16.00,3.7557252,-6.221374,2.091603,-0.198730468,0.0925293,0.77783203,29.988822
16.00,-8.206107,-0.7251908,19.343512,-0.072753908,0.03491211,0.9030762,29.988822
16.00,3.0839694,-2.221374,11.343512,0.11279297,0.030273438,0.8544922,30.08294
17.00,-1.0534351,-3.2366412,-14.541985,0.14868164,0.033935548,0.8876953,29.988822
17.00,8.80916,7.1984732,-24.076336,-0.0146484368,0.036132812,0.7963867,30.0358816
17.00,-0.6259542,1.6793894,-13.229008,-0.26489258,0.024658204,0.9609375,30.0358816
17.00,-0.3053435,2.664122,24.541984,-0.15429688,-0.0034179688,0.8613281,29.988822
17.00,-8.137404,12.282443,21.030534,0.0390625,-0.09008789,0.92871096,30.13
18.00,17.152672,18.137406,11.572519,0.10498047,0.030761718,0.9165039,29.988822
18.00,5.6564884,-3.7480916,-9.022901,0.103515624,-0.010498047,0.84594728,30.0358816
18.00,11.938931,6.625954,-18.419848,0.005126953,0.061279296,0.8383789,30.0358816
18.00,9.053435,18.091602,-15.977099,-0.22558594,0.014160156,0.86328124,30.08294
18.00,-4.664122,-4.4580156,7.26717536,-0.16723633,0.075927736,0.6623535,30.0358816
18.00,-15.4198468,-7.10687,15.564885,-0.048095704,-0.0009765625,0.9370117,29.988822
18.00,20.816794,13.847328,17.526718,0.0146484368,0.017822266,0.8786621,30.0358816
19.00,0.045801528,-4.7175576,0.465648868,0.13574219,-0.008056641,0.8864746,30.0358816
19.00,5.8015264,-3.1984732,-18.580152,0.076416016,0.033203124,0.8725586,30.13
19.00,2.664122,7.0916032,-23.503816,-0.07299805,-0.00390625,0.8417969,30.08294
19.00,13.236641,14.885496,-9.167939,-0.2319336,-0.032958984,0.83569336,30.0358816
19.00,-2.7480916,-2.9694658,10.625955,-0.198486332,0.014404297,0.78027348,29.941762
19.00,3.8396948,1.70229,15.5801532,-0.076171868,0.048583984,0.8457031,30.0358816
20.00,6.70229,0.58778624,9.839695,0.036865236,0.0026855468,0.907714832,30.08294
20.00,-1.870229,-4.3129772,-6.10687,0.10473633,0.044921876,0.8417969,30.08294
20.00,10.106871,-6.374046,-15.793893,-0.03491211,0.04272461,0.8757324,30.0358816
20.00,-0.9160305,9.152672,-10.2595416,-0.13330078,-0.013916016,0.84277348,29.988822
20.00,2.6030534,5.3816796,9.503817,-0.16577148,0.08666992,0.76782224,30.0358816
20.00,-7.923664,-4.7480916,21.755726,-0.02319336,-0.016601562,0.913818336,30.13
21.00,5.6946564,9.610687,13.160305,0.12841797,0.004638672,0.92163084,29.988822
21.00,5.6106872,-0.77099232,-11.442748,0.08251953,0.018066406,0.9416504,29.941762
21.00,2.7480916,-2.3587788,-22.656488,-0.0126953128,0.03881836,0.8708496,30.08294
21.00,4.7480916,13.954199,-15.290076,-0.1274414,0.0146484368,0.78222652,30.08294
21.00,2.1221372,-1.3435115,5.6106872,-0.190917968,0.057617188,0.82055668,30.0358816
21.00,-2.778626,-11.7404584,23.824426,-0.048583984,0.00024414064,0.91503908,30.0358816
22.00,-0.5114504,4.1679388,12.877863,0.07324219,0.064453124,0.931884736,30.0358816
22.00,2.610687,-0.458015268,-2.9312978,0.10546875,0.025634766,0.9135742,29.988822
22.00,-1.0992366,-1.8625954,-21.007634,0.08178711,0.00048828124,0.83740232,30.0358816
22.00,13.763359,14.5801532,-10.450381,-0.17333984,-0.04321289,0.9145508,30.0358816
22.00,-4.6106872,7.21374036,13.732824,-0.14257812,0.032714844,0.8132324,29.988822
22.00,-7.29007636,10.977099,15.007633,-0.0021972656,-0.012207031,0.91430664,29.988822
23.00,2.480916,-7.1984732,3.6183208,0.1340332,0.0041503908,0.880615232,29.894704
23.00,7.79389336,-0.183206116,-15.427481,0.078125,-0.0031738282,0.93310544,29.988822
23.00,10.59542,11.534351,-19.664122,-0.029541016,0.00048828124,0.84350584,29.988822
23.00,1.221374,1.3206106,-4.0076336,-0.24023438,-0.041503908,0.9255371,30.08294
23.00,-9.4198472,6.2442748,17.5572516,-0.13305664,-0.015380859,0.9140625,30.0358816
24.00,0.396946584,0.35114504,19.06107,0.026855468,-0.030761718,0.8515625,30.0358816
24.00,14.343512,5.4961832,2.1908398,0.1652832,-0.018066406,0.9370117,29.988822
24.00,7.0534352,-7.961832,-14.2595432,0.05126953,0.007080078,0.8659668,30.0358816
24.00,18.007634,12.374045,-16.25191,-0.029541016,0.0253906252,0.77856448,30.08294
24.00,6.183206,4.5801524,0.6183206,-0.20507812,0.02709961,0.8095703,29.988822
24.00,-6.9923668,3.5114504,25.358778,-0.018066406,-0.043701172,0.860351536,30.0358816
25.00,4.7862596,13.152672,12.412213,0.15039062,-0.07714844,0.90844728,29.988822
25.00,4.2900764,4.8015264,-10.755725,0.10424805,-0.013427734,0.931884736,30.0358816
25.00,11.396947,-1.3664122,-23.114504,-0.041748048,0.009277344,0.8491211,29.988822
25.00,3.0152672,9.587787,-7.3053436,-0.198730468,-0.020751954,0.876709,30.0358816
25.00,-11.396947,8.458015,17.847328,-0.13598633,-0.011962891,0.8540039,29.988822
26.00,0.8549618,5.59542,18.1603052,-0.03466797,-0.022216796,0.9025879,29.941762
26.00,9.229008,-0.396946584,-0.015267176,0.12817383,-0.026855468,0.96191408,29.988822
26.00,8.38168,-9.80916,-19.770992,0.05883789,0.008300781,0.83569336,30.0358816
26.00,1.3969466,-3.2519084,-25.564886,-0.05102539,0.035888672,0.8388672,30.0358816
26.00,3.2900762,11.458015,-8.702291,-0.24389648,0.0,0.8757324,30.0358816
